13º salário;Christmas bonus
a curto prazo;short-term, current
a descoberto;at risk
a favor de;in favor of
a granel;in bulk
à ordem;to order
a outra parte em uma transação;counterparty, other party
à prova de fogo;fireproof
à prova de roubo;theft-proof
a receber ou a pagar;outstanding receivable or payable
a termo;forward
a um determinado preço;at a given price
à vista;on demand, at sight
abaixo da linha (do lucro operacional);below the line
abaixo do valor nominal, abaixo do valor par;below par
abandono (de bens);abandonment
abandono do trabalho;walkout
abatimento;rebate, abatement
abertura de capital;going public
abertura de inquérito;opening of public enquiry
abertura de inventário;opening of probate proceedings
abertura econômica;economic opening
abonado;accommodated
abonador;accommodation maker, accommodation party
abonar;"guarantee; warrant"
abordagem baseada em formulários;form-driven approach
abordagem comprobatória;substantive approach
abordagem da diretoria executiva;top management approach
abordagem descendente;top-down approach
abordagem empresarial;business approach
abordar;approach
abrangente;comprehensive
abrir um processo;filing of a lawsuit
ab-rogar;abrogate
absenteísmo, absentismo;absenteeism
absorver;absorb
absorver a maior;overabsorb
abuso de autoridade;abuse of authority
ação;stock (USA), share (UK)
ação ao portador;bearer stock (USA), bearer share (UK)
ação bonificada;bonus stock (USA), bonus share (UK)
ação cheia;cum dividend
ação civil;civil action
ação coletiva;class action
ação com direito a voto;voting stock (USA), voting share (UK)
ação com direitos especiais (EUA);senior stock (USA)
ação cominatória;injunction
ação corretiva;remedial action
ação de despejo;eviction
ação de fruição;fruition share
ação de primeira linha, ação de primeira qualidade;blue-chip stock (USA), blue-chip share (UK)
ação de responsabilidade;liability action
ação declaratória;declaratory action
ação direta;direct clause
ação em tesouraria;treasury stock (USA), treasury share (UK)
ação escritural;book entry share
ação executiva;execution proceedings
ação fracionária;fractional share
ação hipotecária;mortgage foreclosure proceedings
ação julgada improcedente;claim dismissed
ação legal;legal action, lawsuit
ação não cotada em bolsa;unlisted security
ação nominativa;nominative stock (USA), nominative share (UK)
ação ordinária;common stock (USA), common share (UK), ordinary stock (USA)
ação ordinária;ordinary lawsuit
ação preferencial;preferred capital stock (USA), preferred capital share (UK)
ação revocatória;revocation suit
ação vazia;ex-dividend
acaso;hazard
aceitação;admission, admittance
aceitação;acceptance
aceitação e retenção de clientes;acceptance and retention of clients
aceitar;adopt
aceitar um risco;accept a risk
aceite bancário;bank acceptance
aceite de título comercial;acceptance
aceites e saques de depósitos;deposit acceptance and withdrawal
"acessar (v); acesso (s)";access (v) (n)
acesso a serviços bancários em casa;home banking
acidente;accident
acidente coletivo;collective accident
acidente de trabalho;work related accident
acidente pessoal;personal accident
acima da linha (do lucro líquido);above the line
acionar, processar;sue
acionista;stockholder (USA), shareholder (UK)
acionista majoritário, acionista controlador;majority stockholder (USA), majority shareholder (UK)
acionista minoritário;minority stockholder (USA), minority shareholder (UK)
ações (investimentos);equities
ações alavancadas;leveraged stocks
ações baratas (EUA);cheap stocks (USA) / Penny stock
ações caídas em comisso;forfeited shares
ações de segunda linha;"secondary stocks - ""junk"""
ações do capital;equity securities
ações do IRB;IRB shares
ações doadas;donated capital stocks
ações emitidas em circulação;outstanding stocks (USA), outstanding shares (UK)
ações inativas;inactive stocks (USA), inactive shares (UK)
ações não emitidas;unissued capital
ações normativas;regulatory actions
ações preferenciais com direito a dividendo cumulativo;cumulative preferred stocks (USA), cumulative preferred shares (UK)
ações representativas do capital;capital stocks
ações subscritas;subscribed capital
acompanhamento;"follow-up; attendance"
"acondicionar (v); acondicionamento (s)";package (v) (n)
aconselhamento;counselling
acordo amigável;amicable settlement
acordo comercial;trade agreement
acordo compensatório;offset agreement
"acordo de ""spread"" a termo";Forward Spread Agreement - FSA
acordo de câmbio a termo;Forward Exchange Agreement - FXA
acordo de cavalheiros;gentlemen's agreement
acordo de cessão;assignment agreement
acordo de cessão, acordo de transferência;deed of assignment
acordo de colocação (EUA);underwriting agreement (USA)
acordo de cooperação;cooperation agreement, cooperative agreement
acordo de licença (de fabricação);license agreement
acordo de produtividade;productivity agreement
acordo de recompra;buy-back agreement
acordo de taxa a termo;Forward Rate Agreement - FRA
acordo de taxa de câmbio;Exchange Rate Agreement - ERA
acordo de voto;voting agreement
acordo extrajudicial;out-of-court settlement
acordo final;closing agreement
Acordo Geral de Tarifas e Comércio - GATT;General Agreement on Tariffs and Trade - GATT
Acordo Geral em Comércio e Serviços (ONU);General Agreement on Trade and Services - GATS (UNO)
acordo para transação, acordo para contrato futuro;futures contract
acordo, contrato, convênio;agreement, contract
acordos de revenda;reverse repurchase agreements
acordos de venda e recompra;sale and repurchase agreements
acréscimo à margem do lucro;additional mark up
adaptação;fitness
adendo, aditivo;addendum, addenda
adequação;adequacy
adequado;adequate, fair, suitable
adesão;adhesion
adiamento;deferment
adiantamento;advance
Adiantamento sobre Contratos de Câmbio - ACC;Advance on Export Contracts
adiantamentos a empregados;advances to employees
adiantamentos a fornecedores;advances to suppliers
adiantamentos de fregueses, adiantamentos de clientes;advances from customers
adiantamentos sobre as apólices;policy loans
adiantar;advance
adiar;defer, postpone, delay
adição;addition
adicional;further
Adicional de Imposto de Renda Estadual - AIRE;additional state income tax
adicional noturno;night additional
adicional por insalubridade;additional pay for insalubrity
adicional por periculosidade;hazardous activities additional remuneration
adicional por tempo de serviço;length of service additional
adido comercial;commercial attaché
administração;administration, management
administração baseada em atividades;Activity Based Management - ABM
administração de assuntos do meio ambiente;environmental affairs management
"administração de fideicomissos, administração de ""trust""";trust administration
administração de fundos de clientes, sem restrições;discretionary management of client funds
administração de linha, gerência de linha;line management
administração de pessoal;personnel management
administração de risco;risk management
administração de vendas;sales management
administração do escritório;office management
administração financeira;financial management
administração por crise;management by crisis
administração por exceção;management by exception
administração por objetivos;management by objectives
administrador;administrator, manager
admissão;admission, admittance
admitir pessoal;hire
adotar;follow, adopt
adulteração;adulteration
adulterar;alloy, garble
advertência;caveat
advogado;attorney, lawyer, solicitor, legal counsel
advogado de defesa;counsellor
afetar;affect
afetar desfavoravelmentE;adversely affect
afretamento;charter
agência;agency, branch
Agência Nacional das Telecomunicações - ANATEL;National Agency for Telecommunications - ANATEL
agenda;diary
agente;agent
agente a del-credere;del credere agent
agente de seguros;insurance agent
agente emissor de apólices;direct writer
agente exclusivo;sole agent
agente extraordinário;commercial contact
agente fiduciário;trustee
agente inspetor;commercial clerk
agente representante;agency
ágio;premium, goodwill, share premium
ágio na venda de direito de taxa de prêmio;premium on the sales of subscription premium rate
ágio não-realizado;unrealized premium
ágio sobre emissão de ações;share premium, stock premium
ágio sobre obrigação, ágio sobre título;bond premium
agiota;usurer
agitação;wave
agravo;appeal
agroindústria, agroempresa;agribusiness
agropecuária;farming and cattle-raising, agriculture and livestock raising
ajuda;relief
ajuda ampla;extensive aid
ajuda de custo;cost of living allowance
ajuizamento de causa;filing of a lawsuit
ajustador;adjuster
ajustar em detalhes, tocar;fine-tune
ajuste;adjustment
ajuste de efeito retroativo;retrocative adjustment
ajuste de exercício anterior;prior year adjustment
ajuste de prêmio;premium adjustment
ajuste pelos níveis de preços de reposição;replacement price adjustment
ajustes contábeis acumulados;cumulative accounting adjustments
ajustes de conversão (de demonstrações financeiras) de uma moeda para outra;translation adjustments
ajustes nos registros contábeis;book adjustments
alavancagem financeira;financial leverage
alavancagem operacional;operating leverage
alcançar, atingir;achieve
aleatório;random
alfândega, aduana;customs
algoritmo;algorithm
alienação;disposal, sale
alienação de participação societária;divestiture
alienação fiduciária;statutory lien, collateral
alienar;dispose of, sell
alimentação;meals
alíquota;rate
alíquota de imposto;taxa rate
almoxarifado;stores, store room, warehouse, stock room
alojamento;housing
alta administração;senior management
alta de preços rápida;boom
alta, aumento (de preços, impostos, etc.);hike
altamente endividado;heavily-indebted
alteração;alteration
alterar indevidamente;tamper with
alto funcionário;senior official
alto nível;high level
alto risco;high risk
alugar (dar em aluguel);let
"aluguel (s); alugar, arrendar (v)";rent (n) (v)
aluguel com cláusula de aquisição;hire purchase, installment purchase (USA)
alvará;permit
alvará judicial;court order
alvo;target
ambiente de controle;control environment
amenizar;sweeten
amigável;amicable
amortização;amortization
amortização acelerada;accelerated amortization
amortização de ações;stock amortization (USA), share amortization (UK)
amortizar;amortize
amostra;sample
amostra probabilística;probability sample
amostra representativa;representative sample
amostragem;sampling
amostragem aleatória;random sampling
amostragem em auditoria;audit sampling
amostragem estatística;statistical sampling
amostragem estratificada;stratified sampling
amostragem múltipla;multiple sampling
amostragem não estatística;non-statistical sampling
amostragem por julgamento;judgment sampling
amostragem seqüencial;sequential sampling
amostragem sistemática;systematic sampling
ampla gama de atividades;wide-range activity
ampliação de crédito;credit extension
amplitude;scope
analfabeto;illiterate
analisado por antigüidade;vintaged
analisar;analyse
análise;analysis
análise crítica de etapas;critical path analysis
análise de cargo ;job analysis
análise de concorrência;competitor analysis
análise de correlação;correlation analysis
análise de custo-benefício;cost-benefit analysis
análise de desempenho;performance analysis
análise de entrada e saída;input-output analysis
análise de investimento;investment analysis
análise de mercado;market analysis
análise de projeto;project analysis
análise de regressão;regression analysis
análise de risco;risk analysis
análise de rotatividade;turnover analysis
análise de sensibilidade;sensitivity analysis
análise de sistemas;systems analysis
análise de tendências;trend analysis
análise de variações;variance analysis
análise em profundidade;depth analysis
análise estatística;statistical analysis
análise funcional;functional analysis
análise mercadológica;market analysis services
análise por meio de quocientes;ratio analysis
análise vertical;vertical analysis
analista;analyst
analista financeiro;finacial analyst
anexo;enclosure, exhibit, attachment
anistia;amnesty
ano anterior;preceding year
ano civil, ano do calendário;calendar year
ano contábil, ano fiscal;fiscal year
ano em curso;current year
ano-base;tax base-year
anotar;jot down
Antecipação de Receita Orçamentária - ARO;advance of approved budgeted funds
antedatar;antedate, predate
antes dos impostos;before taxes
antigüidade (no emprego);seniority
anualizado;annualized
anualmente;yearly
anuidade (apólice) com prêmio anual;annual premium annuity
anuidades (seguros resgatáveis em vida);annuities
anuidades variáveis;variable annuities
anulação;voidance, annulment
anular;void, annul
ao ano - a.a.;per annum - p.a.
ao dia, por dia;per diem
ao mês - a.m.;per month - p.m.
aparelhar;furnish
apartar;set aside
apêndice;appendix
aperfeiçoamento de pessoal;staff development
aperfeiçoamento do produto;product improvement
apertado;tight
aperto de crédito;credit squeeze
aperto, apuro;squeeze
aplicação;"application; investment"
apoio financeiro;financial support
apoio político;political support
apólice;policy
apólice à ordem;transferrable policy
apólice a tempo;term life insurance
apólice aberta;open policy
apólice ajustável ou variável;variable policy
apólice all risks ou todos os riscos;all risks policy
apólice anual;annual policy
apólice blanket;blanket policy, blanket insurance
apólice cobrindo locais não especificados;blanket contract
apólice coletiva;collective policy
apólice compreensiva;comprehensive policy
apólice de curto prazo;"short-term policy; short-tail policy"
apólice de prazo indefinido;open-ended policy
apólice de riscos múltiplos;multiple risk policy
apólice de seguro;insurance policy
apólice de seguro de vida;life insurance policy
apólice flutuante;floater (policy or endorsement)
apólice global;blanket policy
apólice individual;individual insurance policy
apólice padronizada;standardized policy
apólice plurianual;multiannual policy
apólice simples;single policy
apólices de anuidade com extensão de cobertura para vida e invalidez;annuities with life contingencesor disability contracts
apontador;timekeeper
aporte de recursos (de acionistas/bancos);financial resources provided by (stockholders/banks)
aposentadoria;retirement, pension, superannuation
aposentadoria por doença ou acidente;disability retirement
aposentadoria por invalidez;invalid pension
aposentadoria por velhice;old-age pension
apreçamento pela taxa de retorno;rate-of-return pricing
aprendizagem programada;programmed learning
aprendizagem, aprendizado;apprenticeship
apresentação;presentation
apresentação e divulgação;presentation and disclosure
apresentação fidedigna, apresentação adequada;fair presentation, accurate presentation
apresentam adequadamente em todos os aspectos relevantes (EUA);present fairly in all material respects (USA)
apresentar fidedignamente, apresentar adequadamente;"fairly present; give a true and fair view (UK)"
apressar;expedite
aprimorar;improve, streamline
apropriação;appropriation, allocation, apportionment
apropriação de custos;allocation of costs
apropriação de despesas;expense allocation
apropriação indébita;misappropriation, larceny
apropriado;suitable
apropriar;apportion
aprovação;approval
aproveitador;profiteer
aproveitável;workable
aproximação grosseira;rough approximation
aproximar;approach
aptidão;eligibility, fitness
aptidão pessoal;personal ability
apto;eligible, capable
aquisição;acquisition
aquisição de ações pelos administradores;management buyout
aquisição de ações pelos administradores, com financiamento;leveraged management buyout
aquisição de uma empresa por outra ou por um conglomerado;takeover
aquisição do controle de uma empresa;buyout
aquisição por compra;purchase acquisition
arbitramento;arbitration
